Team,Rank,Point,Score,Lose_score,Balance(m),AverageAge,season
Chelsea FC,3,74,76,33,30.94,27.1,2021-2022
Crystal Palace,12,48,50,46,-85.62,26.9,2021-2022
Everton FC,16,39,43,66,6.5,26.5,2021-2022
Leeds United,17,38,42,79,-59.3,25.6,2021-2022
Leicester City,8,52,62,59,-63.6,26.3,2021-2022
Liverpool FC,2,92,94,26,-57.45,27.7,2021-2022
Manchester City,1,93,99,26,-45.1,27.0,2021-2022
Manchester United,6,58,57,57,-110.9,27.0,2021-2022
Newcastle United,11,49,44,62,-130.5,27.4,2021-2022
Norwich City,20,22,23,84,-25.15,25.6,2021-2022
Southampton FC,15,40,43,67,-3.05,25.6,2021-2022
Tottenham Hotspur,4,71,69,40,-61.28,26.1,2021-2022
Watford FC,19,23,34,77,-30.65,28.0,2021-2022
West Ham United,7,56,60,51,-70.27,28.0,2021-2022
Wolverhampton Wanderers,10,51,38,43,-5.8,26.5,2021-2022
AFC Bournemouth,15,39,37,71,-83.1,26.2,2022-2023
Arsenal FC,2,84,88,43,-168.1,24.6,2022-2023
Aston Villa,7,61,51,46,-46.14,26.9,2022-2023
Brentford FC,9,59,58,46,-45.65,25.7,2022-2023
Brighton & Hove Albion,6,62,72,53,82.2,25.7,2022-2023
Chelsea FC,12,44,38,47,-543.63,25.9,2022-2023
Crystal Palace,11,45,40,49,-41.15,26.6,2022-2023
Everton FC,17,36,34,57,25.4,26.3,2022-2023
Fulham FC,10,52,55,53,-50.3,27.9,2022-2023
Leeds United,19,31,48,78,-36.89,25.1,2022-2023
Leicester City,18,34,51,68,32.4,26.3,2022-2023
Liverpool FC,5,67,75,47,-61.6,27.2,2022-2023
Manchester City,1,89,94,33,7.17,26.7,2022-2023
Manchester United,3,75,58,43,-219.63,26.6,2022-2023
Newcastle United,4,71,68,33,-171.29,27.0,2022-2023
Nottingham Forest,16,38,38,68,-190.25,26.5,2022-2023
Southampton FC,20,25,36,73,-146.61,24.6,2022-2023
Tottenham Hotspur,8,60,70,63,-139.15,27.1,2022-2023
West Ham United,14,40,42,55,-164.95,27.9,2022-2023
Wolverhampton Wanderers,13,41,31,58,-114.24,26.5,2022-2023
